City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2548,Amambai,BR,78.71,overcast clouds,-23.1,-55.23,Keren Hotel
2549,Dwarka,IN,78.71,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
2550,Lorengau,PG,83.55,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
2553,Bacolod,PH,82.98,scattered clouds,10.67,122.95,Planta Hotel & Residences
2555,Natal,BR,77.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
2557,Lazaro Cardenas,MX,78.01,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
2559,Banda Aceh,ID,81.88,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
2565,Sawakin,SD,83.62,clear sky,19.11,37.33,فندق الدويم
2568,Itoman,JP,77.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
2574,Oriximina,BR,79.18,broken clouds,-1.77,-55.87,Pousada Tia Amélia
2578,Crib Point,AU,82.0,clear sky,-38.35,145.2,Erawan Bed & Breakfast
2582,Bintulu,MY,80.6,few clouds,3.17,113.03,900 Boutique INN
2583,Nanakuli,US,87.8,few clouds,21.39,-158.15,Camp Pālehua
2585,Ghanzi,BW,76.24,light rain,-21.57,21.78,Ghanzi Farmhouse
2586,Langsa,ID,82.29,light rain,4.47,97.97,OYO 2964 Hotel Ridho
2590,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
2594,Ko Samui,TH,82.27,light rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
2595,Wanlaweyn,SO,75.29,scattered clouds,2.62,44.89,Haji Qasim Hotel
2596,San Antonio,US,75.2,clear sky,29.42,-98.49,Marriott Plaza San Antonio
2609,Matam,SN,83.7,clear sky,15.62,-13.33,Auberge Beelel Jeeri
2612,Bosaso,SO,76.66,scattered clouds,11.28,49.18,Red Sea Hotel
2613,Vila Velha,BR,77.0,few clouds,-20.33,-40.29,Hotel Vitória Palace
2616,Alice Town,BS,79.2,moderate rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
